Longitude,Latitude,Horizontal_logSa70,Horizontal_logSa200,Bottom_Depth,ESU_number
-32.405996057678,-3.82677996469287,1.407142,1.460429,18.8668205983066,1
-32.3956718442268,-3.81686165423054,1.073652,0.8666932,24.7212551785081,2
-32.3798800809049,-3.81982465355748,1.985963,2.009561,19.3692683746972,3
-32.364460934804,-3.81802299778978,2.419975,2.519082,33.3911604094471,4
-32.3491774184003,-3.81677599336938,2.303782,2.757125,58.2102511538624,5
-32.3509478520174,-3.81720143210067,0.6634722,1.459694,399.995180399997,6
-32.3980382626897,-3.82040935547989,2.503079,2.275585,13.7267717914166,7
-32.3826803543102,-3.81781108618672,2.450473,2.194349,16.0406009506304,8
-32.3667046469292,-3.81670878687552,2.754313,2.715258,31.6928122808497,9
-32.3503791581103,-3.81662416082567,2.58356,2.725268,52.8353394446577,10
-32.3588450007521,-3.82304419190519,3.421169,3.68635,42.0864257024875,11
-32.3668347956197,-3.82871391650611,2.733021,2.782124,27.0031198610724,12
-32.3675120665298,-3.82965179165019,2.824501,2.945299,32.2257105698595,13
-32.3768863906539,-3.83631223647193,2.825062,2.780183,31.8990777704417,14
-32.3904747838394,-3.84568344591183,2.35782,2.081507,24.1132881660253,15
-32.3832363257084,-3.85140180960699,2.10972,1.841598,15.7507272253296,16
-32.3717794451048,-3.85102297631193,1.966004,2.080294,16.8344967766848,17
-32.3585927260115,-3.85597562142605,2.489637,2.463388,20.8329578099496,18
-32.3558940574699,-3.85780448571296,2.732706,2.700385,108.738378244848,19
-32.3649914030378,-3.85867686631954,3.16887,3.552993,34.7831694227389,20
-32.3807771106179,-3.86199611257256,2.209361,1.861727,33.0965706428181,21
-32.3969791233948,-3.86246053670994,1.868501,1.556049,34.7647193054669,22
-32.3877671604573,-3.86840296545346,1.003119,0.7144113,34.1414624343489,23
-32.3770924574157,-3.87623713047359,2.017309,1.940498,40.0243205165178,24
-32.3634964215241,-3.8840256692663,2.782094,2.831196,36.4475414629402,25
-32.3559267600295,-3.89009833965581,2.978527,2.987068,109.779648119132,26
-32.3604625707291,-3.88511200696086,3.397553,3.454123,66.7110149979574,27
-32.3758749200572,-3.88066193452596,2.890205,2.917751,38.9761043681864,28
-32.391309619842,-3.87890937405417,2.220724,2.213419,42.1629838499251,29
-32.3896966321697,-3.88611085293775,1.707411,1.613198,43.2427878275351,30
-32.3837788699804,-3.90154738963722,1.896276,1.854749,45.5514885626377,31
-32.3781785112262,-3.9165402247894,2.74227,2.760755,52.356336622277,32
-32.3677786928367,-3.90496688860477,3.120622,3.407307,160.312017474855,33
-32.3583698377869,-3.89657664656777,2.159987,2.326142,240.03208575594,34
-32.3547797815892,-3.88497941791479,2.292987,2.45705,247.099504582338,35
-32.3526779824991,-3.86957085831965,2.744535,2.883176,104.267807424895,36
-32.3581586735564,-3.85429021238204,3.103926,3.050005,50.6462690888902,37
-32.3699511713472,-3.84277713326947,2.581608,2.39921,23.876979836065,38
-32.3811874594475,-3.83133626756931,2.305457,2.136276,30.7583853072139,39
-32.3966126229092,-3.82570445933496,1.701281,1.334857,20.4520693232347,40
-32.398153099697,-3.82559336276816,1.299886,0.7809145,12.2858076074765,41
-32.4061479056554,-3.81973136079005,2.027921,1.557126,15.8104349182996,42
-32.4109711215071,-3.80533420390737,0.2231322,0.1245717,42.144392461327,43
-32.4150649313115,-3.79804078536251,1.643251,1.112707,52.9248350416538,44
-32.4215036960267,-3.7899076050552,1.797134,1.704467,56.6194293750471,45
-32.4319902292485,-3.77728965754671,2.920484,2.670671,137.390276378167,46
-32.4329307442407,-3.78427286816752,0.5736384,1.636626,396.398607448936,47
-32.4341598508755,-3.80056960108641,1.73368,2.377539,66.7250121505691,48
-32.4353141678545,-3.81706227941751,2.594162,1.737889,53.7443498290747,49
-32.437692798315,-3.83328077484267,0.3026813,0.1653016,43.2511462593599,50
-32.4322362601981,-3.84175895673664,1.516041,1.208277,22.4696232308094,51
-32.4400128746728,-3.82923730521608,1.572762,1.48003,31.1546181615287,52
-32.4558346923625,-3.82545464894887,2.456814,2.267367,56.1491795220346,53
-32.4600873390266,-3.82721402786169,1.472823,1.815096,279.284919223429,54
-32.4544882697896,-3.84276323250033,2.499981,2.658693,67.4489106993597,55
-32.4502709367976,-3.85225533484577,2.787801,2.669645,33.7080592467447,56
-32.465846614879,-3.84707662091593,1.152299,0.9647611,42.0870986808182,57
-32.4812525000591,-3.84208624748899,1.768932,2.141201,116.588106020289,58
