id,lon,lat,SA
1,-32.4048022240825,-3.92260399997591,0.233709007919317
2,-32.4035155054912,-3.92260399997591,0.220547759508736
3,-32.4022287869,-3.92260399997591,0.211620154417196
4,-32.4009420683087,-3.92260399997591,0.206387331871694
5,-32.3996553497174,-3.92260399997591,0.199823692505932
6,-32.3983686311262,-3.92260399997591,0.188584188758282
7,-32.3970819125349,-3.92260399997591,0.170913354864602
8,-32.3957951939437,-3.92260399997591,0.144697090848924
9,-32.3945084753524,-3.92260399997591,0.10283599871962
10,-32.3932217567611,-3.92260399997591,0.0294650980247372
11,-32.3919350381699,-3.92260399997591,2.39874172053289e-07
12,-32.3906483195786,-3.92260399997591,0.0371565289148025
13,-32.3893616009874,-3.92260399997591,8.2327674408994e-06
14,-32.3880748823961,-3.92260399997591,0.0158210443858751
15,-32.3867881638048,-3.92260399997591,0.0204862469970954
16,-32.3855014452136,-3.92260399997591,0.00489611076393977
17,-32.3842147266223,-3.92260399997591,0.000222558444163205
18,-32.3829280080311,-3.92260399997591,4.5502848281647e-06
19,-32.4112358170388,-3.92161343073279,0.205504288123681
20,-32.4099490984475,-3.92161343073279,0.21618436403016
21,-32.4086623798563,-3.92161343073279,0.232356807608513
22,-32.407375661265,-3.92161343073279,0.244930789310633
23,-32.4060889426737,-3.92161343073279,0.26697901749014
24,-32.4048022240825,-3.92161343073279,0.275418299801411
25,-32.4035155054912,-3.92161343073279,0.26427521382688
26,-32.4022287869,-3.92161343073279,0.247201187117718
27,-32.4009420683087,-3.92161343073279,0.22716452290438
28,-32.3996553497174,-3.92161343073279,0.206855376407621
29,-32.3983686311262,-3.92161343073279,0.199644646186335
30,-32.3970819125349,-3.92161343073279,0.209317784633335
31,-32.3957951939437,-3.92161343073279,0.184892711349098
32,-32.3945084753524,-3.92161343073279,0.104058801925634
33,-32.3932217567611,-3.92161343073279,-8.32667268468867e-17
34,-32.3919350381699,-3.92161343073279,0.0840590362846953
35,-32.3906483195786,-3.92161343073279,0.110065524736577
36,-32.3893616009874,-3.92161343073279,0.0649309731801957
37,-32.3880748823961,-3.92161343073279,0.0401980590284007
38,-32.3867881638048,-3.92161343073279,0.0289414136740999
39,-32.3855014452136,-3.92161343073279,0.0255154715468712
40,-32.3842147266223,-3.92161343073279,0.0101205425244993
41,-32.3829280080311,-3.92161343073279,0.000579216463769051
42,-32.3816412894398,-3.92161343073279,1.17141620956627e-05
43,-32.3803545708485,-3.92161343073279,6.56647746606279e-07
