Poly_LabelName,Poly_Longitude,Poly_Latitude,Poly_Time,Poly_EsuPingStart,Poly_Bottom,Poly_depth,Poly_limit_up,Poly_limit_down,Poly_sum_Sa_70,Poly_sum_Sa_200,Poly_mean_Sv_70,Poly_mean_Sv_200,Poly_pixel_number,FAROFA,MPA,Wind_exposure,distanceToCoast,distanceToShelfbreak,SaFish_70,SaNoFish_70,SaFish_200,SaNoFish_200,Sediment,nb_Sediment,Depth_std,Rugosity,Slope,ESU25row,Poly_sum_logSa_70,Poly_sum_logSa_200,logSaFish_70,logSaFish_200,logSaNoFish_70,logSaNoFish_200,SaFish_Other_70,SaFish_Other_200,logSaFish_Other_70,logSaFish_Other_200,distanceToShelfbreak_factor
bottom.small.fish.school,-32.39281525,-3.886729794,736954.5811,100075,44.05503032,42.9,38.21775858,46.91160462,328900.9633,223800.9665,-43.81197728,-44.72179789,8663,1,in,windward,2.771933989,-2.588643337,2.440115,47.07946,1.254204,17.26803,NA,NA,0.926952604,0.678734961,0.060625689,3214,5.51706646590531,5.3498638982618,0.536572960894385,0.352993216086894,1.68195958128384,1.26169171613968,328898.523185,223799.712296,5.51706324387404,5.3498614644342,meso_upper
bottom.small.fish.school,-32.3936591,-3.885656899,736954.5819,100655,43.779,44.3,41.4629388,46.67418418,329178.2086,223933.551,-43.81302878,-44.72282984,8684,1,in,windward,2.625978779,-2.740171691,5.995672,46.67056,2.197651,15.54297,NA,NA,0.529859236,0.667907105,0.076962567,3221,5.51743239678493,5.35012110631237,0.844829438895626,0.504831061960188,1.67825025374121,1.21861348217051,329172.212928,223931.353349,5.5174244864707,5.35011684420819,meso_upper
bottom.small.fish.school,-32.40451509,-3.79238681,736954.7988,154814,56.50260544,55.7,50.256879,60.9996822,416496.6923,298681.6151,-43.89810503,-44.80527502,10968,1,off50m,leeward,2.239229475,1.137246624,95.71626,62.43826,101.2516,29.48653,NA,NA,0.260795817,0.730370045,0.023554132,4627,5.61961259944232,5.47520994511546,1.98549949408962,2.00967011243228,1.8023512625384,1.48410799545056,416400.97604,298580.3635,5.61951278179247,5.47506269695331,meso_upper
bottom.small.fish.school,-32.40528939,-3.796197269,736954.8004,155754,56.462,57.1,50.5552902,64.8790278,496997.6666,364205.4968,-43.96191286,-44.87807294,12933,1,off50m,leeward,1.991028132,1.390055454,47.27837,70.41807,50.21085,33.80783,NA,NA,0.459346922,0.728396127,0.03100565,4645,5.69635522356424,5.56134768857374,1.6837525987916,1.70936198433363,1.85380810965296,1.54167694921358,496950.38823,364155.28595,5.69631390813773,5.56128781100823,meso_upper
bottom.small.fish.school,-32.40201989,-3.821309766,736956.5201,168170,22.715,21.9,20.00987929,23.48147388,507561.0752,367079.4446,-43.96275429,-44.88221368,13054,1,in,leeward,0.454223645,-3.701843933,0,90.89253,0,9.943635,NA,NA,0.201576763,0.684352251,0.016613479,4853,5.70548916435512,5.56476124904083,0,0,1.96328020875676,1.0391615997151,507561.0752,367079.4446,5.70548916435512,5.56476124904083,eu_lower
bottom.small.fish.school,-32.38994674,-3.804199514,736956.5318,175179,41.022,39.9,35.24908834,42.85338972,512582.5988,369518.4367,-43.97232918,-44.89158197,13345,1,in,leeward,0.425628844,-1.455890847,4.210228,150.5968,1.645146,39.94139,NA,NA,0.278689514,0.405952698,0.00144925,4954,5.70976470589697,5.56763728719512,0.716856728477125,0.422449648108232,2.18069003403344,1.61216258329674,512578.388572,369516.791554,5.70976113870071,5.56763535365834,meso_upper
bottom.small.fish.school,-32.39067604,-3.80425496,736956.5341,176577,40.066,38.1,31.67059357,43.23679988,540455.4319,385820.1138,-44.00102376,-44.91981481,14257,1,in,leeward,0.4077164,-1.479112174,47.21155,301.2896,28.76956,123.8797,NA,NA,0.353842708,0.422379208,0.031198025,4959,5.73276068968978,5.58638599043054,1.68315109426305,1.4737724157356,2.48042320592639,2.09649184674478,540408.22035,385791.34424,5.73272275025555,5.5863536051448,meso_upper
bottom.small.fish.school,-32.3919543,-3.804331,736956.5381,178928,42.015,38.1,31.03044,45.0622536,640392.5686,442132.0976,-44.07686579,-44.99563988,16980,1,in,leeward,0.400016464,-1.527155119,34.3386,227.4478,13.8683,83.78702,NA,NA,0.275725642,0.423022298,0.005905903,4968,5.80644696169892,5.6455530269326,1.54824934018155,1.17226131533936,2.35878698006535,1.92832937143305,640358.23,442118.2293,5.80642367373185,5.64553940429123,meso_upper
bottom.small.fish.school,-32.3691193,-3.802925542,736956.5816,186205,43.706,44.3,38.2290696,49.26404631,1020657.001,786304.5552,-43.83142322,-35.5538718,24125,1,in,windward,1.237175342,-0.771722542,190.5013,220.052,127.5256,86.51588,NA,NA,0.461309464,0.65970917,0.02853256,5252,6.00888024437884,5.89559134394069,2.28217172650783,2.10898963997405,2.34449444860192,1.94208686411524,1020466.4997,786177.0296,6.00879917766971,5.89552090293255,meso_upper
bottom.small.fish.school,-32.35693149,-3.891490267,736956.669,218000,116.2232409,65.7,41.54034957,89.80287463,1147315.778,964450.1715,-43.87570808,-35.6175484,27873,1,in,windward,5.905470617,0.544217292,2086.886,205.395,3648.054,335.2202,NA,NA,3.879708927,0.805575696,0.460493111,6040,6.05968334461721,5.98428024495563,3.31970678220257,3.56218029025654,2.31469917212808,2.52662380215817,1145228.892,960802.1175,6.05889267515224,5.98263440354436,meso_lower
